,Price,Price,Price,Price,Price,Price,Price,Price,Price,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,sum_min_quantity
supplier,carbwel,ima,jahu,lucios,medauto,metal,real,rufato,sueyasu,carbwel,ima,jahu,lucios,medauto,metal,real,rufato,sueyasu,
key,,,,,,,,,,,,,,,,,,,
3rho362,0.0,,,30.11,,,,,0.0,3.0,,,1.0,,,,,1.0,1.0
3rho363,0.0,,,33.13,,,,,0.0,1.0,,,3.0,,,,,2.0,1.0
3rho367,0.0,,,65.52,,,,,0.0,10.0,,,42.0,,,,,9.0,9.0
3rho370,0.0,,,33.42,,,,,0.0,1.0,,,13.0,,,,,4.0,1.0
3rho371,0.0,,,29.62,,,,,0.0,3.0,,,2.0,,,,,30.0,3.0
3rho372,0.0,,,28.14,,,,,0.0,3.0,,,7.0,,,,,2.0,2.0
3rho373,0.0,,,34.14,,,,,0.0,1.0,,,15.0,,,,,3.0,1.0
3rho375,0.0,,,30.61,,,,,0.0,1.0,,,3.0,,,,,7.0,1.0
3rho376,0.0,,,29.32,,,,,0.0,2.0,,,29.0,,,,,12.0,2.0
3rho377,0.0,,,,,,,,0.0,1.0,,,,,,,,11.0,1.0
3rho379,0.0,,,34.26,,,,,0.0,1.0,,,22.0,,,,,8.0,1.0
3rho381,0.0,,,30.82,,,,,0.0,2.0,,,10.0,,,,,10.0,2.0
3rho382,,,,,0.0,,,,0.0,,,,,1.0,,,,7.0,1.0
3rho383,0.0,,,35.55,,,,,0.0,1.0,,,5.0,,,,,3.0,1.0
3rho384,0.0,,,35.83,,,,,0.0,2.0,,,5.0,,,,,1.0,1.0
3rho385,0.0,,,35.12,,,,,0.0,2.0,,,10.0,,,,,5.0,2.0
3rho387,0.0,,,36.65,,,,,0.0,2.0,,,1.0,,,,,34.0,2.0
3rho388,0.0,,,,,,,,0.0,1.0,,,,,,,,5.0,1.0
3rho393,0.0,,,35.12,,,,,0.0,1.0,,,4.0,,,,,2.0,1.0
3rho396,0.0,,,37.05,,,,,0.0,1.0,,,5.0,,,,,3.0,1.0
3rho397,0.0,,,,,,,,0.0,1.0,,,,,,,,3.0,1.0
3rho398,0.0,,,53.91,,,,,0.0,1.0,,,9.0,,,,,3.0,1.0
3rho399,,,,36.78,,,,,0.0,,,,4.0,,,,,2.0,2.0
3rho400,,,,,0.0,,,,0.0,,,,,2.0,,,,8.0,2.0
3rho402,0.0,,,70.86,,,,,0.0,1.0,,,6.0,,,,,7.0,1.0
3rho405,0.0,,,,,,,,0.0,2.0,,,,,,,,9.0,2.0
3rho406,0.0,,,,,,,,0.0,1.0,,,,,,,,8.0,1.0
3rho408,0.0,,,66.9,,,,,0.0,3.0,,,7.0,,,,,2.0,2.0
3rho409,0.0,,,65.07,,,,,0.0,2.0,,,5.0,,,,,7.0,2.0
3rho411,,,,89.72,,,,,0.0,,,,6.0,,,,,12.0,12.0
