,Price,Price,Price,Price,Price,Price,Price,Price,Price,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,Quantity,sum_min_quantity
supplier,carbwel,ima,jahu,lucios,medauto,metal,real,rufato,sueyasu,carbwel,ima,jahu,lucios,medauto,metal,real,rufato,sueyasu,
key,,,,,,,,,,,,,,,,,,,
3rho362,37.97,,,30.11,,,,,28.9,0.0,,,1.0,,,,,0.0,0.0
3rho363,45.02,,,33.13,,,,,31.8,0.0,,,3.0,,,,,0.0,0.0
3rho367,98.93,,,65.52,,,,,64.9,0.0,,,42.0,,,,,0.0,0.0
3rho370,39.57,,,33.42,,,,,28.33,0.0,,,13.0,,,,,0.0,0.0
3rho371,35.61,,,29.62,,,,,28.89,0.0,,,2.0,,,,,0.0,0.0
3rho372,43.24,,,28.14,,,,,23.86,0.0,,,7.0,,,,,0.0,0.0
3rho373,37.89,,,34.14,,,,,32.77,0.0,,,15.0,,,,,0.0,0.0
3rho375,30.37,,,30.61,,,,,29.39,0.0,,,3.0,,,,,0.0,0.0
3rho376,38.21,,,29.32,,,,,28.58,0.0,,,29.0,,,,,0.0,0.0
3rho377,39.09,,,,,,,,32.49,0.0,,,,,,,,0.0,0.0
3rho379,47.41,,,34.26,,,,,33.94,0.0,,,22.0,,,,,0.0,0.0
3rho381,47.61,,,30.82,,,,,30.06,0.0,,,10.0,,,,,0.0,0.0
3rho382,,,,,64.11,,,,59.29,,,,,0.0,,,,0.0,0.0
3rho383,35.68,,,35.55,,,,,34.67,0.0,,,5.0,,,,,0.0,0.0
3rho384,59.52,,,35.83,,,,,34.92,0.0,,,5.0,,,,,0.0,0.0
3rho385,58.24,,,35.12,,,,,34.23,0.0,,,10.0,,,,,0.0,0.0
3rho387,31.32,,,36.65,,,,,36.61,0.0,,,1.0,,,,,0.0,0.0
3rho388,74.66,,,,,,,,62.65,0.0,,,,,,,,0.0,0.0
3rho393,48.26,,,35.12,,,,,34.23,0.0,,,4.0,,,,,0.0,0.0
3rho396,45.44,,,37.05,,,,,36.13,0.0,,,5.0,,,,,0.0,0.0
3rho397,34.31,,,,,,,,36.93,0.0,,,,,,,,0.0,0.0
3rho398,34.68,,,53.91,,,,,51.75,0.0,,,9.0,,,,,0.0,0.0
3rho399,,,,36.78,,,,,35.87,,,,4.0,,,,,0.0,0.0
3rho400,,,,,94.76,,,,75.86,,,,,0.0,,,,0.0,0.0
3rho402,115.0,,,70.86,,,,,68.02,0.0,,,6.0,,,,,0.0,0.0
3rho405,112.81,,,,,,,,88.36,0.0,,,,,,,,0.0,0.0
3rho406,140.95,,,,,,,,89.87,0.0,,,,,,,,0.0,0.0
3rho408,109.24,,,66.9,,,,,65.22,0.0,,,7.0,,,,,0.0,0.0
3rho409,96.74,,,65.07,,,,,63.45,0.0,,,5.0,,,,,0.0,0.0
3rho411,,,,89.72,,,,,86.12,,,,6.0,,,,,0.0,0.0
3rho413,,,,93.56,,,,,89.82,,,,1.0,,,,,0.0,0.0
3rho414,146.16,,,93.48,,,,,89.76,0.0,,,1.0,,,,,0.0,0.0
3rho415,116.16,,,,,,,,85.77,0.0,,,,,,,,0.0,0.0
3rho416,79.01,,,80.53,,,,,78.51,0.0,,,5.0,,,,,0.0,0.0
3rho417,46.44,,,32.67,,,,,32.36,0.0,,,1.0,,,,,0.0,0.0
3rho419,,,,,106.7,,,,71.26,,,,,0.0,,,,0.0,0.0
3rho423,58.32,,,58.32,,,,,56.87,0.0,,,4.0,,,,,0.0,0.0
3rho427,63.63,,,47.49,,,,,47.42,0.0,,,4.0,,,,,0.0,0.0
3rho430,74.5,,,44.6,,,,,,0.0,,,6.0,,,,,,6.0
3rho431,84.33,,,55.63,,,,,54.23,0.0,,,5.0,,,,,0.0,0.0
3rho436,53.38,,,42.98,,,,,41.26,0.0,,,38.0,,,,,0.0,0.0
3rho44102,60.61,,,46.71,,,,,45.55,0.0,,,94.0,,,,,0.0,0.0
3rho44105,77.95,,,50.08,,,,,48.84,0.0,,,13.0,,,,,0.0,0.0
