Filial;Produto;Descricao;NCM;Disponivel;Preco;Marca;Cód.Fabricante
2-SP;23644;FECHADURA DA PORTA DIANT. DIR.                                        ;83012000;6;77,57;JAHU PLACA PRETA              ;
2-SP;23651;FECHADURA DA PORTA DIANT. ESQ.                                        ;83012000;> 10.00   ;77,57;JAHU PLACA PRETA              ;
2-SP;23910;BATENTE DA PORTA DIR.                                                 ;87082993;6;16,45;JAHU PLACA PRETA              ;
2-SP;23927;BATENTE DA PORTA ESQ.                                                 ;87082993;4;16,45;JAHU PLACA PRETA              ;
2-SP;23941;FLEXÍVEL D.H. (PRESSÃO) (589MM)                                       ;59090000;0;73,16;JAHU PLACA PRETA              ;
2-SP;23989;BRAÇO INTERMEDIÁRIO DA DIREÇÃO                                        ;87089990;2;125,34;JAHU PLACA PRETA              ;
2-SP;24009;BRAÇO PITMAN DIR. (S/D.H.)                                            ;87089990;0;129,81;JAHU PLACA PRETA              ;
2-SP;24016;BRAÇO PITMAN DA DIREÇÃO Ø 25 MM                                       ;87089990;0;129,81;JAHU PLACA PRETA              ;
2-SP;24115;CONTROLE MAÇANETA (DIR.)                                              ;87082913;4;42,9;JAHU PLACA PRETA              ;
2-SP;24122;CONTROLE MAÇANETA (ESQ.)                                              ;87082913;3;42,51;JAHU PLACA PRETA              ;
2-SP;24139;FECHO CAPÔ INF.                                                       ;87082999;0;48,81;JAHU PLACA PRETA              ;
2-SP;24146;FECHO CAPÔ SUP.                                                       ;87082999;8;22,57;JAHU PLACA PRETA              ;
2-SP;24177;FECHO CAPÔ INF.                                                       ;87082999;4;88,2;JAHU PLACA PRETA              ;
2-SP;24450;MANGUEIRA DO RADIADOR SUP. (ORIG.)                                    ;40093100;0;93,18;JAHU PLACA PRETA              ;
2-SP;24474;MANGUEIRA DO RADIADOR INF. (ORIG.)                                    ;40093100;0;174,23;JAHU PLACA PRETA              ;
2-SP;24573;TIRANTE ACIONAMENTO REGULAGEM EMBREAGEM (210MM)                       ;87089990;0;10,99;JAHU PLACA PRETA              ;
2-SP;24672;FLEXÍVEL FREIO TRAS. (390MM)                                          ;59090000;6;20,44;JAHU PLACA PRETA              ;
2-SP;24689;FLEXÍVEL FREIO DIANT. (340MM)                                         ;59090000;4;21,62;JAHU PLACA PRETA              ;
2-SP;24696;FLEXÍVEL FREIO DIANT./TRAS. (535MM)                                   ;59090000;5;23,04;JAHU PLACA PRETA              ;
2-SP;26485;FECHO CAPÔ INF.                                                       ;87082999;4;94,28;JAHU PLACA PRETA              ;
2-SP;28861;SUPORTE DOBRADIÇA CAPÔ                                                ;87082999;0;11,26;JAHU PLACA PRETA              ;
2-SP;29073;GRADE RADIADOR (S/EMBLEMA) (PRATA)                                    ;87082992;0;112,8;JAHU PLACA PRETA              ;
2-SP;29080;GRADE RADIADOR (S/EMBLEMA) (PRETA)                                    ;87082992;0;115,58;JAHU PLACA PRETA              ;
2-SP;30062;COXIM MOTOR (DIANT.)                                                  ;87089990;2;71,72;JAHU PLACA PRETA              ;
2-SP;30086;CALÇO DO CÂMBIO TRAVA                                                 ;40169990;> 50.00   ;12,48;JAHU PLACA PRETA              ;
2-SP;30093;CALÇO TRAV. CÂMBIO                                                    ;40169990;0;5,67;JAHU PLACA PRETA              ;
2-SP;30161;MANGUEIRA DO RADIADOR SUP. (ORIG.)                                    ;40093100;0;14,08;JAHU PLACA PRETA              ;
2-SP;30178;MANGUEIRA DO RADIADOR INF. (S/MOLA) ORIG.                             ;40093100;10;21,24;JAHU PLACA PRETA              ;
2-SP;30185;MANGUEIRA DO RADIADOR INF. (ORIG.)                                    ;40093290;0;52,61;JAHU PLACA PRETA              ;
2-SP;30437;PEDAL DO ACELERADOR                                                   ;40169990;> 10.00   ;50,41;JAHU PLACA PRETA              ;
2-SP;30673;FLEXÍVEL FREIO DIANT. (620MM)                                         ;59090000;1;27,08;JAHU PLACA PRETA              ;
2-SP;30703;BUCHA DA BANDEJA DIANT. INF.                                          ;87088000;0;17,86;JAHU PLACA PRETA              ;
2-SP;30833;BUCHA TRAV. SUSPENSÃO DIANT./TRAS.                                    ;40169990;0;2,29;JAHU PLACA PRETA              ;
2-SP;30840;BUCHA DO TENSOR DIANT. (PAR)                                          ;40169990;4;10,7;JAHU PLACA PRETA              ;
2-SP;30901;BUCHA DA SUSPENSÃO DIANT. TRAVA                                       ;40169990;0;2,29;JAHU PLACA PRETA              ;
2-SP;30956;BUCHA DO AMORTECEDOR TRAS. SUP.                                       ;40169990;0;1,6;JAHU PLACA PRETA              ;
2-SP;30987;CALCO MOLA SUP. TRAS.                                                 ;40169990;> 20.00   ;2,91;JAHU PLACA PRETA              ;
2-SP;31113;GUARNIÇÃO DO PARA-BRISA (FRISO ALUMINIO)                              ;40082900;0;94,82;JAHU PLACA PRETA              ;
2-SP;31212;ARREMATE BOTÃO ENCOSTO BANCO                                          ;87082999;> 20.00   ;1,4;JAHU PLACA PRETA              ;
2-SP;31281;CANALETA DA PORTA (C/COLUNA)                                          ;40081900;0;37,41;JAHU PLACA PRETA              ;
2-SP;31380;CANALETA DA PORTA (C/PESTANA)                                         ;40082900;0;194,76;JAHU PLACA PRETA              ;
2-SP;31397;CANALETA DA PORTA (C/PESTANA)                                         ;40082900;3;93,35;JAHU PLACA PRETA              ;
2-SP;31441;GUARNIÇÃO DO PORTA-MALAS (ESPONJA)                                    ;40082900;> 10.00   ;29,81;JAHU PLACA PRETA              ;
2-SP;31526;FRISO GRADE SUP. DIANT. (MENOR)                                       ;39263000;0;23,43;JAHU PLACA PRETA              ;
2-SP;31564;GUARNIÇÃO VIGIA (STD)(ABA LARGA)                                      ;40082900;> 10.00   ;111,85;JAHU PLACA PRETA              ;
2-SP;31670;COXIM DO CÂMBIO                                                       ;40169990;> 10.00   ;53,31;JAHU PLACA PRETA              ;
2-SP;31687;CANALETA DA PORTA (C/PESTANA/6 PEÇAS)                                 ;40082900;1;155,08;JAHU PLACA PRETA              ;
2-SP;31694;MANGUEIRA DO RADIADOR SUP. (ORIG.)                                    ;40091100;> 10.00   ;30,74;JAHU PLACA PRETA              ;
2-SP;31700;MANGUEIRA DO RADIADOR INF. (ORIG.)                                    ;40093100;3;55,32;JAHU PLACA PRETA              ;
2-SP;31755;GUARDA-PÓ ALAVANCA CÂMBIO                                             ;40169990;0;25,89;JAHU PLACA PRETA              ;
2-SP;31908;GUARNIÇÃO JANELA LATERAL FIXA                                         ;40082900;0;48,46;JAHU PLACA PRETA              ;
2-SP;32004;BUCHA DA BARRA TENSORA DIANT.                                         ;40169990;> 20.00   ;11,94;JAHU PLACA PRETA              ;
2-SP;32011;BUCHA DO TENSOR DIANT. (PAR) (ORIG.)                                  ;40169990;3;52,86;JAHU PLACA PRETA              ;
2-SP;32066;GUARNIÇÃO DO PORTA-MALAS 3670 MM                                      ;40081900;> 10.00   ;67,57;JAHU PLACA PRETA              ;
2-SP;32073;BIELETA DA BARRA ESTABILIZADORA DIANT.                                ;87089990;> 20.00   ;11,16;JAHU PLACA PRETA              ;
2-SP;32080;GUARNIÇÃO DO PARA-BRISA (C/ABA MAIOR) STAND.                          ;40082900;> 10.00   ;80,31;JAHU PLACA PRETA              ;
2-SP;32097;GUARNIÇÃO DO PARA-BRISA LUXO                                          ;40082900;> 10.00   ;89,09;JAHU PLACA PRETA              ;
