CODIGO_INTERNO;COD_FABRICANTE;NOME_FANTASIA;PRODUTO;QTDE_EMB;UNIDADE_MEDIDA;QTDE_SPNORTE;PRECO_SPNORTE;QTDE_ABC;PRECO_ABC;QTDE_SPLESTE;PRECO_SPLESTE
45063000005;3000001153/6653;SACHS;KIT EMBREAGEM 205MM (PLATO/DISCO/ATUA);1;KT;A;689,78;;0;A;689,78
45063000012;3000001154/9054;SACHS;KIT EMBREAGEM 205MM (PLATO/DISCO);1;KT;B;365,35;A;410,35;B;365,35
45063000014;3000001238;SACHS;KIT EMBREAGEM 215MM (PLATO/DISCO/ATUA);1;KT;A;734,28;A;734,28;A;734,28
45063000015;3000001240;SACHS;KIT EMBREAGEM 180MM (PLATO/DISCO/ROL);1;KT;B;527,81;B;527,81;;0
45063000043;3000990528;SACHS;KIT DE EMBREAGEM (PLATO/DISCO/ATUADOR);1;PC;A;1079,12;A;871;A;1079,12
45063000368;3000954346/6309;SACHS;KIT EMBREAGEM 228MM (PLATO/DISCO/ROL);1;KT;A;696,28;A;696,28;A;696,28
45063000737;3000000848/6454;SACHS;KIT EMBREAGEM 200MM (PLATO/DISCO/ROL);1;KT;A;555,73;;0;B;555,73
46024500269;511001010;LUK;CILINDRO MESTRE EMBREAGEM;1;PC;A;113,48;B;109,27;B;113,48
46024500346;511029110;LUK;CILINDRO MESTRE EMBREAGEM C/RESERVATORIO;1;PC;A;280,31;A;280,31;;0
46024500351;511029310;LUK;CILINDRO MESTRE EMBREAGEM;1;PC;A;342,63;A;370,97;;0
46024500354;512001210;LUK;CILINDRO AUXILIAR EMBREAGEM;1;PC;B;165,47;B;165,47;A;164,49
46024500411;511029010;LUK;CILINDRO MESTRE EMBREAGEM;1;PC;B;233,72;A;213,93;;0
46024500458;5120070100;LUK;CILINDRO AUXILIAR EMBREAGEM;1;PC;B;87,42;B;84,54;B;82,23
46024500579;5110157100;LUK;CILINDRO MESTRE EMBREAGEM SIST.LUK;1;PC;B;160,3;B;160,3;A;160,3
46063000107;622208600;LUK;KIT EMBREAGEM 216MM(PLATO/DISCO/ROLAM);1;KT;B;483,27;B;483,27;B;483,27
46063000114;628220200;LUK;KIT EMBREAGEM 280MM (PLA/DIS/ROL);1;KT;B;873,01;A;873,01;A;873,01
46063000125;620302700;LUK;KIT EMBREAGEM 200MM;1;KT;B;491,27;B;473,04;B;491,27
46063000240;618301700;LUK;KIT EMBREAGEM 180MM (PLA/DIS/ROL);1;KT;B;291,46;B;291,46;B;290,11
46063000280;621219808;LUK;KIT EMBREAGEM (S/ROLAM/BUCHA/RET);1;KT;A;707,76;A;653,76;;0
46063000295;625222633;LUK;KIT EMBREAGEM 252MM PLA/DIS/ATU;1;KT;A;1276,45;;0;;0
46063000302;625222609;LUK;KIT EMBREAGEM (PLATO/DISCO);1;KT;A;927,27;;0;;0
46063000422;624347433;LUK;KIT EMBREAGEM 239 MM(PLATO/DISCO/ATUA);1;KT;A;1632,04;A;1632,04;A;1632,04
46063000450;620344500;LUK;KIT DE EMBREAGEM (PLATO/DISCO/ROLAMENTO);1;KT;B;1049,38;B;1038,26;;0
46063000520;630310633;LUK;KIT EMBREAGEM 300MM (PLA/DIS/ATU);1;KT;A;1955,42;;0;;0
46063000534;622319909;LUK;KIT EMBREAGEM 200MM(PLATO+DISCO);1;KT;B;499,79;B;499,79;B;499,79
46063000596;621303633;LUK;KIT EMBREAGEM 205MM (PLA/DIS/ATU S/ADAP);1;KT;B;831,34;A;929,18;;0
46063000601;621306609;LUK;KIT EMBREAGEM(PLAT+DIS);1;KT;B;343,7;B;343,7;B;343,7
46063000605;623318300;LUK;KIT EMBREAGEM 225MM (PLA/DIS/ROL);1;KT;A;641,63;B;596,32;A;660,54
46063000608;624322700;LUK;KIT EMBREAGEM 242MM (PLA/DIS/ROL) PUXAR;1;KT;B;1287,08;B;1287,08;;0
46063000609;623318400;LUK;KIT EMBREAGEM 228MM (PLA/DIS/ROL);1;KT;A;887,54;A;867,3;;0
46069900397;510003510;LUK;ATUADOR EMBREAGEM;1;PC;B;373,44;B;373,44;B;373,44
46069900451;415036311;LUK;VOLANTE MOTOR BIMASSA;1;PC;A;1794,26;A;1794,26;A;1794,26
46069900540;415048510;LUK;VOLANTE MOTOR BIMASSA;1;PC;B;1651,53;A;1651,53;B;1651,53
46091000469;500032010;LUK;ROLAMENTO DESENGATE EMBREAGEM;1;PC;B;57,01;;0;A;57,01
46091000542;500150510;LUK;ROLAMENTO DESENGATE EMBREAGEM S/ABA;1;PC;B;46,28;B;43,46;B;46,28
74051600338;U3001;NGK;BOBINA IGNICAO PLASTICA;1;PC;B;72,62;B;72,62;B;72,62
74051600443;U5132;NGK;BOBINA IGNICAO PLASTICA;1;PC;B;152,12;A;152,12;;0
74051600475;U2031;NGK;BOBINA IGNICAO PLASTICA;1;PC;B;179,04;B;179,04;;0
74051600511;U5414;NGK;BOBINA IGNICAO PLASTICA CANETA;1;PC;B;169,11;A;169,13;A;169,11
74051700002;STV02;NGK;CABO VELA IGNICAO;1;JG;B;74,6;B;74,6;B;74,6
74051700045;SCG65;NGK;CABO VELA IGNICAO;1;JG;B;90,46;;0;B;90,46
74051700078;SCG73;NGK;CABO VELA IGNICAO;1;JG;B;92,2;B;92,2;B;92,2
74051700091;SCT54;NGK;CABO VELA IGNICAO;1;JG;B;50,51;B;50,51;B;50,51
74051700102;SCG77;NGK;CABO VELA IGNICAO;1;JG;A;112,33;;0;;0
74051700113;STV17;NGK;CABO VELA IGNICAO;1;JG;B;121,07;B;121,07;B;121,07
74051700121;STV19;NGK;CABO VELA IGNICAO;1;JG;A;117,89;;0;B;117,89
74051700141;SCT09;NGK;CABO VELA IGNICAO;1;JG;B;72,34;B;72,34;B;72,34
74051700160;SCG81;NGK;CABO VELA IGNICAO 7 CABOS;1;JG;A;124,84;;0;A;124,84
74051700197;SCR13;NGK;CABO VELA IGNICAO;1;JG;B;110,48;B;110,48;B;105,22
74051700222;TBP01;NGK;TERMINAL BOBINA;1;JG;A;67,05;B;67,05;A;60,97
74051800022;BPR6ES;NGK;VELA IGNICAO NIQUEL;4;PC;B;12,38;B;12,89;B;12,16
74051800083;BPR5EFS10;NGK;VELA IGNICAO NIQUEL;4;PC;B;12,89;B;12,38;B;12,89
74051800100;BKUR6ET;NGK;VELA IGNICAO NIQUEL 3 ELETRODOS;4;PC;B;18,65;B;17,9;B;17,59
74051800124;ZFR6PG;NGK;VELA DE IGNICAO DE PLATINA G-POWER;4;PC;B;24,73;;0;B;23,34
74051800206;ZFR7RG;NGK;VELA IGNICAO NIQUEL;4;PC;B;24,66;B;24,73;B;23,34
74051800214;BKR6ESZ10;NGK;VELA IGNICAO NIQUEL;4;PC;B;15,79;B;15,85;B;15,85
74051800261;BKR6E11D;NGK;VELA IGNICAO NIQUEL GREEN;4;PC;B;14,3;B;14,3;B;14,3
74051800267;BKUR6ETC10D;NGK;VELA IGNICAO NIQUEL 3 ELETRODOS;4;PC;B;17,9;B;16,99;B;17,59
74051800281;LZKAR7AD;NGK;VELA IGNICAO NIQUEL;1;PC;B;18,11;B;18,11;B;18,11
74051800371;ILTR6G8G;NGK;VELA IGNICAO LASER IRIDIUM;1;PC;B;85,35;;0;B;85,35
74051800393;IZKR8C10D;NGK;VELA IGNICAO LASER IRIDIUM;1;PC;B;79,74;B;79,74;B;79,74
74051800446;LKAR7AGPD;NGK;VELA DE IGNICAO DE PLATINA G-POWER;1;PC;B;30,96;B;30,96;A;30,96
74057000236;OZA660EE48;NGK;SONDA LAMBDA PRE;1;PC;B;200,59;A;200,59;A;200,59
74057000293;OZA683EE23;NGK;SONDA LAMBDA PRE;1;PC;A;167,92;;0;A;167,92
74057000459;OZA719HG3;NGK;SONDA LAMBDA POS;1;PC;A;460,58;;0;;0
74057000497;OZA668EE54;NGK;SONDA LAMBDA PRE;1;PC;B;196,09;;0;;0
74057000581;OZA755EE15;NGK;SONDA LAMBDA POS;1;PC;A;198,78;;0;;0
89021002368;CRC03013;COFAP;CUBO RODA TRASEIRO C/ROL S/ABS;1;PC;B;115,25;B;115,25;B;119,32
